,RunId,iteration,Step,schedule_type,seed,payoff_type,Avg_Weight0,Ct_Weight0 > 0.5
0,1,0,0,Random,1,sh,0.5,0
1,1,0,1,Random,1,sh,0.4981441359166391,885
2,1,0,2,Random,1,sh,0.5022035638042626,1057
3,1,0,3,Random,1,sh,0.5050237458234805,1146
4,1,0,4,Random,1,sh,0.5117518162210279,1208
5,1,0,5,Random,1,sh,0.5140186545132021,1208
6,1,0,6,Random,1,sh,0.5150247441723677,1239
7,1,0,7,Random,1,sh,0.5187501113417465,1270
8,1,0,8,Random,1,sh,0.5206675741572544,1287
9,1,0,9,Random,1,sh,0.5220977917548904,1298
10,1,0,10,Random,1,sh,0.5265559654862558,1314
11,1,0,11,Random,1,sh,0.5315943325222311,1335
12,1,0,12,Random,1,sh,0.5361273875785654,1337
13,1,0,13,Random,1,sh,0.5382701915488309,1345
14,1,0,14,Random,1,sh,0.5400901523928855,1353
15,1,0,15,Random,1,sh,0.5427532618527158,1362
16,1,0,16,Random,1,sh,0.5452697631164097,1361
17,1,0,17,Random,1,sh,0.5456924027746433,1352
18,1,0,18,Random,1,sh,0.5470004352561999,1359
19,1,0,19,Random,1,sh,0.5483141651367636,1365
20,1,0,20,Random,1,sh,0.5490941902991159,1363
21,1,0,21,Random,1,sh,0.5497488143566281,1366
22,1,0,22,Random,1,sh,0.5496551679468045,1369
23,1,0,23,Random,1,sh,0.5496122080873164,1370
24,1,0,24,Random,1,sh,0.550153990158117,1376
25,1,0,25,Random,1,sh,0.5503998999446882,1379
26,1,0,26,Random,1,sh,0.5507224435938576,1378
27,1,0,27,Random,1,sh,0.551382524093136,1376
28,1,0,28,Random,1,sh,0.5519168279541775,1374
29,1,0,29,Random,1,sh,0.5523251400261259,1376
30,1,0,30,Random,1,sh,0.5527478924901786,1380
31,1,0,31,Random,1,sh,0.5529973308939543,1382
32,1,0,32,Random,1,sh,0.5531673122104117,1381
33,1,0,33,Random,1,sh,0.5535727653857901,1384
34,1,0,34,Random,1,sh,0.554079029349919,1385
35,1,0,35,Random,1,sh,0.5543044124638896,1383
36,1,0,36,Random,1,sh,0.5547982207092007,1385
37,1,0,37,Random,1,sh,0.5552297970547265,1384
38,1,0,38,Random,1,sh,0.5555608223072479,1384
39,1,0,39,Random,1,sh,0.5559927188045943,1386
40,1,0,40,Random,1,sh,0.5563492931656023,1387
41,1,0,41,Random,1,sh,0.5567343361026778,1386
42,1,0,42,Random,1,sh,0.5569753992875546,1390
43,1,0,43,Random,1,sh,0.5572972481534311,1391
44,1,0,44,Random,1,sh,0.5575651742996303,1392
45,1,0,45,Random,1,sh,0.557984940047972,1394
46,1,0,46,Random,1,sh,0.5583260603671697,1395
47,1,0,47,Random,1,sh,0.5587780545868088,1397
48,1,0,48,Random,1,sh,0.5591597169594794,1397
49,1,0,49,Random,1,sh,0.5595075454974684,1398
50,1,0,50,Random,1,sh,0.5600111573537399,1400
51,1,0,51,Random,1,sh,0.5603382645400954,1403
52,1,0,52,Random,1,sh,0.5607469827763265,1403
53,1,0,53,Random,1,sh,0.5612770647871171,1405
54,1,0,54,Random,1,sh,0.5616668136830283,1405
55,1,0,55,Random,1,sh,0.5619879608848534,1404
56,1,0,56,Random,1,sh,0.5623610925711425,1404
57,1,0,57,Random,1,sh,0.5627897710858347,1407
58,1,0,58,Random,1,sh,0.5632278870405368,1408
59,1,0,59,Random,1,sh,0.563706491368845,1409
60,1,0,60,Random,1,sh,0.5641244827446774,1410
61,1,0,61,Random,1,sh,0.5645553249572326,1413
62,1,0,62,Random,1,sh,0.5649513176861367,1414
63,1,0,63,Random,1,sh,0.565299680190046,1414
64,1,0,64,Random,1,sh,0.5657434476628094,1415
65,1,0,65,Random,1,sh,0.5661080704536048,1415
66,1,0,66,Random,1,sh,0.5664506229652719,1416
67,1,0,67,Random,1,sh,0.5668377407791906,1418
68,1,0,68,Random,1,sh,0.567264663469115,1420
69,1,0,69,Random,1,sh,0.5676727866632263,1421
70,1,0,70,Random,1,sh,0.5680896756461035,1423
71,1,0,71,Random,1,sh,0.5684640075933638,1424
72,1,0,72,Random,1,sh,0.5687540891450421,1426
73,1,0,73,Random,1,sh,0.5690458400585933,1426
74,1,0,74,Random,1,sh,0.569357288243526,1427
75,1,0,75,Random,1,sh,0.5696019167413539,1427
76,1,0,76,Random,1,sh,0.5698729979586713,1428
77,1,0,77,Random,1,sh,0.5700922093627933,1429
78,1,0,78,Random,1,sh,0.5702798194099726,1429
79,1,0,79,Random,1,sh,0.5704447683339245,1429
80,1,0,80,Random,1,sh,0.5705616264110016,1429
81,1,0,81,Random,1,sh,0.5706960098970245,1429
82,1,0,82,Random,1,sh,0.5707919474093837,1429
83,1,0,83,Random,1,sh,0.5708512567814994,1428
84,1,0,84,Random,1,sh,0.5709123224097566,1428
85,1,0,85,Random,1,sh,0.5709736588897782,1428
86,1,0,86,Random,1,sh,0.5709950547443753,1428
87,1,0,87,Random,1,sh,0.5710322125822322,1428
88,1,0,88,Random,1,sh,0.5710860017653089,1428
89,1,0,89,Random,1,sh,0.5711886130811389,1428
90,1,0,90,Random,1,sh,0.5712789611701935,1428
91,1,0,91,Random,1,sh,0.5714307724456356,1428
92,1,0,92,Random,1,sh,0.5715641538574361,1428
93,1,0,93,Random,1,sh,0.5717266420419319,1430
94,1,0,94,Random,1,sh,0.5718080961673345,1430
95,1,0,95,Random,1,sh,0.5719163573012942,1430
96,1,0,96,Random,1,sh,0.5719940791313147,1430
97,1,0,97,Random,1,sh,0.5720398541132763,1430
98,1,0,98,Random,1,sh,0.572083411726562,1430
99,1,0,99,Random,1,sh,0.5720844649799416,1430
100,1,0,100,Random,1,sh,0.5721037972796895,1431
101,3,0,0,Random,2,sh,0.5,0
102,3,0,1,Random,2,sh,0.4984403879465176,875
103,3,0,2,Random,2,sh,0.4952445695031298,993
104,3,0,3,Random,2,sh,0.49534264316210264,1064
105,3,0,4,Random,2,sh,0.497883569327236,1116
106,3,0,5,Random,2,sh,0.49498813024382726,1124
107,3,0,6,Random,2,sh,0.49582378764314583,1145
108,3,0,7,Random,2,sh,0.49740451980346445,1161
109,3,0,8,Random,2,sh,0.4968049222652204,1195
