,RunId,iteration,Step,step_by_type,grass,grass_regrowth_time,initial_sheep,initial_wolves,Wolves,Sheep,Grass
0,0,0,0,True,True,20,150,20,20,150,203
1,0,0,1,True,True,20,150,20,21,131,144
2,0,0,2,True,True,20,150,20,22,125,111
3,0,0,3,True,True,20,150,20,23,123,92
4,0,0,4,True,True,20,150,20,24,117,78
5,0,0,5,True,True,20,150,20,23,105,69
6,0,0,6,True,True,20,150,20,23,99,66
7,0,0,7,True,True,20,150,20,26,90,61
8,0,0,8,True,True,20,150,20,27,82,61
9,0,0,9,True,True,20,150,20,27,72,56
10,0,0,10,True,True,20,150,20,27,61,55
11,0,0,11,True,True,20,150,20,27,56,60
12,0,0,12,True,True,20,150,20,28,52,63
13,0,0,13,True,True,20,150,20,30,46,70
14,0,0,14,True,True,20,150,20,31,37,72
15,0,0,15,True,True,20,150,20,33,32,81
16,0,0,16,True,True,20,150,20,34,30,86
17,0,0,17,True,True,20,150,20,36,27,88
18,0,0,18,True,True,20,150,20,30,24,92
19,0,0,19,True,True,20,150,20,31,20,96
20,0,0,20,True,True,20,150,20,34,21,103
21,0,0,21,True,True,20,150,20,36,17,98
22,0,0,22,True,True,20,150,20,35,16,161
23,0,0,23,True,True,20,150,20,35,17,205
24,0,0,24,True,True,20,150,20,31,16,225
25,0,0,25,True,True,20,150,20,33,16,244
26,0,0,26,True,True,20,150,20,34,15,256
27,0,0,27,True,True,20,150,20,35,12,267
28,0,0,28,True,True,20,150,20,38,11,281
29,0,0,29,True,True,20,150,20,38,9,285
30,0,0,30,True,True,20,150,20,36,7,295
31,0,0,31,True,True,20,150,20,31,5,300
32,0,0,32,True,True,20,150,20,33,3,300
33,0,0,33,True,True,20,150,20,33,2,307
34,0,0,34,True,True,20,150,20,28,2,311
35,0,0,35,True,True,20,150,20,28,2,316
36,0,0,36,True,True,20,150,20,29,2,319
37,0,0,37,True,True,20,150,20,30,2,324
38,0,0,38,True,True,20,150,20,28,2,328
39,0,0,39,True,True,20,150,20,29,2,331
40,0,0,40,True,True,20,150,20,26,1,337
41,0,0,41,True,True,20,150,20,23,1,338
42,0,0,42,True,True,20,150,20,20,1,342
43,0,0,43,True,True,20,150,20,23,2,346
44,0,0,44,True,True,20,150,20,22,2,348
45,0,0,45,True,True,20,150,20,23,2,353
46,0,0,46,True,True,20,150,20,20,2,357
47,0,0,47,True,True,20,150,20,21,2,362
48,0,0,48,True,True,20,150,20,18,3,363
49,0,0,49,True,True,20,150,20,16,3,365
50,0,0,50,True,True,20,150,20,16,3,366
51,0,0,51,True,True,20,150,20,14,3,367
52,0,0,52,True,True,20,150,20,12,3,368
53,0,0,53,True,True,20,150,20,12,3,369
54,0,0,54,True,True,20,150,20,10,3,370
55,0,0,55,True,True,20,150,20,8,3,369
56,0,0,56,True,True,20,150,20,8,3,370
57,0,0,57,True,True,20,150,20,10,2,369
58,0,0,58,True,True,20,150,20,10,1,370
59,0,0,59,True,True,20,150,20,12,1,372
60,0,0,60,True,True,20,150,20,12,1,372
61,0,0,61,True,True,20,150,20,12,1,372
62,0,0,62,True,True,20,150,20,13,1,372
63,0,0,63,True,True,20,150,20,11,1,372
64,0,0,64,True,True,20,150,20,11,1,372
65,0,0,65,True,True,20,150,20,11,1,372
66,0,0,66,True,True,20,150,20,7,1,373
67,0,0,67,True,True,20,150,20,7,1,373
68,0,0,68,True,True,20,150,20,7,1,373
69,0,0,69,True,True,20,150,20,7,1,375
70,0,0,70,True,True,20,150,20,7,2,377
71,0,0,71,True,True,20,150,20,6,2,378
72,0,0,72,True,True,20,150,20,7,2,378
73,0,0,73,True,True,20,150,20,6,2,380
74,0,0,74,True,True,20,150,20,5,2,382
75,0,0,75,True,True,20,150,20,3,2,381
76,0,0,76,True,True,20,150,20,3,2,381
77,0,0,77,True,True,20,150,20,3,2,381
78,0,0,78,True,True,20,150,20,3,2,384
79,0,0,79,True,True,20,150,20,3,2,383
80,0,0,80,True,True,20,150,20,3,2,381
81,0,0,81,True,True,20,150,20,3,2,381
82,0,0,82,True,True,20,150,20,1,2,381
83,0,0,83,True,True,20,150,20,1,2,381
84,0,0,84,True,True,20,150,20,1,2,380
85,0,0,85,True,True,20,150,20,2,2,378
86,0,0,86,True,True,20,150,20,2,2,377
87,0,0,87,True,True,20,150,20,2,2,377
88,0,0,88,True,True,20,150,20,0,3,376
89,0,0,89,True,True,20,150,20,0,3,375
90,0,0,90,True,True,20,150,20,0,3,374
91,0,0,91,True,True,20,150,20,0,3,373
92,0,0,92,True,True,20,150,20,0,3,372
93,0,0,93,True,True,20,150,20,0,3,372
94,0,0,94,True,True,20,150,20,0,3,370
95,0,0,95,True,True,20,150,20,0,3,370
96,0,0,96,True,True,20,150,20,0,3,371
97,0,0,97,True,True,20,150,20,0,3,372
98,0,0,98,True,True,20,150,20,0,3,372
99,0,0,99,True,True,20,150,20,0,3,371
100,0,0,100,True,True,20,150,20,0,3,372
